violet;blue;green;yellow;orange;red;label;;;;;;;;;;;;;
727.17;412.73;1700.76;1151.56;1629.94;460.29;gang;;;;;;;;;;;;;
734.06;340.86;1489.38;1015.28;1608.97;405.65;gang;;;;;;;;;;;;;
687.53;260.93;1216.69;777.64;1533.49;340.82;gang;;;;;;;;;;;;;
229.36;310.08;756.71;629.91;399.71;212.49;gang;;;;;;;;;;;;;
252.33;335.77;833.44;676.72;457.04;231.74;gang;;;;;;;;;;;;;
280.29;353.09;898.8;728.35;509.44;243.57;gang;;;;;;;;;;;;;
311.76;365.49;960.22;791.11;555.39;253.41;gang;;;;;;;;;;;;;
339.69;377.34;1020.39;838.2;608.55;261.97;gang;;;;;;;;;;;;;
360.22;387.1;1101.05;868.68;682.6;270.97;gang;;;;;;;;;;;;;
377.2;396.49;1186.85;896.81;759.04;283.27;gang;;;;;;;;;;;;;
395.48;411.14;1252.96;924.33;830.13;303.65;gang;;;;;;;;;;;;;
416.73;428.03;1294.27;948.5;891.22;327.38;gang;;;;;;;;;;;;;
441.16;440.13;1329.84;973.25;953.1;346.64;gang;;;;;;;;;;;;;
478.64;447.31;1361.56;1012.02;1013.69;360.78;gang;;;;;;;;;;;;;
516.48;454.68;1389.9;1048.42;1065.92;373.3;gang;;;;;;;;;;;;;
550.53;461.61;1412.31;1079.68;1110.73;384.77;gang;;;;;;;;;;;;;
577.88;467.35;1437.18;1096.51;1150.46;393.99;gang;;;;;;;;;;;;;
597.49;471.62;1471.76;1107.76;1196.11;401.29;gang;;;;;;;;;;;;;
613.24;474.96;1521.89;1120.08;1258.3;408.37;gang;;;;;;;;;;;;;
629.32;482.46;1557.6;1132.98;1313.47;420.83;gang;;;;;;;;;;;;;
643.98;492.91;1576.64;1142.78;1353.92;437.15;gang;;;;;;;;;;;;;
655.79;499.72;1588.57;1149.7;1386.53;450.53;gang;;;;;;;;;;;;;
667.41;502.45;1601.32;1161.63;1416.88;458.98;gang;;;;;;;;;;;;;
682.57;504.41;1612.68;1180.87;1442.69;463.68;gang;;;;;;;;;;;;;
701.11;507.06;1619.32;1202.18;1459.82;467.31;gang;;;;;;;;;;;;;
717.9;509.56;1622.08;1214.66;1468.64;469.78;gang;;;;;;;;;;;;;
729.11;511.1;1628.08;1219.1;1474.37;470.8;gang;;;;;;;;;;;;;
734.4;511.39;1647.97;1215.05;1491.54;465.4;gang;;;;;;;;;;;;;
736.66;506.2;1678.47;1218.44;1526.18;466.06;gang;;;;;;;;;;;;;
740.49;511.08;1695.92;1221.2;1554.86;472.16;gang;;;;;;;;;;;;;
744.24;516.37;1712.63;1223.88;1581.58;478.54;gang;;;;;;;;;;;;;
747.52;521.93;1715.57;1222.94;1595.82;488.59;gang;;;;;;;;;;;;;
748.77;522.04;1718.51;1215.47;1608.04;494.93;gang;;;;;;;;;;;;;
750.49;515.52;1723.16;1217.42;1620.23;498.63;gang;;;;;;;;;;;;;
755.24;510.26;1726.94;1224.18;1630.61;499.67;gang;;;;;;;;;;;;;
760.52;506.13;1698.97;1230.36;1632.05;501;gang;;;;;;;;;;;;;
768.87;497.06;1681.49;1235.23;1632.44;501.5;gang;;;;;;;;;;;;;
771.98;497.36;1688.74;1237.1;1641.2;501.55;gang;;;;;;;;;;;;;
777.18;482.68;1693.66;1239.79;1648.38;487.28;gang;;;;;;;;;;;;;
777.86;481.84;1710.9;1197.9;1667.84;488.65;gang;;;;;;;;;;;;;
752.43;483.26;1717.71;1169.95;1679.26;481.32;gang;;;;;;;;;;;;;
748.22;479.13;1691.35;1161.97;1679.13;476.16;gang;;;;;;;;;;;;;
749.19;474.56;1651.18;1162.28;1653.06;475.08;gang;;;;;;;;;;;;;
751.47;474.81;1649.59;1164.75;1648.53;475.04;gang;;;;;;;;;;;;;
754.23;462.4;1648.29;1124.87;1656.08;462.02;gang;;;;;;;;;;;;;
746.11;450.2;1602.15;1127.19;1626.04;464.52;gang;;;;;;;;;;;;;
748.6;450.58;1613.13;1131.37;1630.74;468.57;gang;;;;;;;;;;;;;
755.14;452.82;1627.52;1140.03;1603.37;459.28;gang;;;;;;;;;;;;;
759.93;462.04;1650.47;1141.53;1622.53;466.95;gang;;;;;;;;;;;;;
716.46;463.44;1636.73;1163.18;1643.98;472.66;gang;;;;;;;;;;;;;
731.62;469.59;1663.36;1163.09;1570.49;458.83;gang;;;;;;;;;;;;;
738.86;475.93;1698.52;1175.88;1586.44;471.35;gang;;;;;;;;;;;;;
733.93;476.24;1659.76;1200.29;1613.3;454.17;gang;;;;;;;;;;;;;
749.34;487.72;1677.69;1198.15;1591.15;456.66;gang;;;;;;;;;;;;;
765.7;497.94;1717.82;1195.57;1571.57;467.39;gang;;;;;;;;;;;;;
